split,image,nearest_train_image,cosine
val,predict10_scaled-A0091_frame68.png,predict9_scaled-A0038_frame129.png,0.768726
val,predict10_scaled-A0091_frame69.png,predict9_scaled-A0038_frame129.png,0.770422
val,predict10_scaled-A0091_frame7.png,predict9_scaled-A0038_frame142.png,0.797282
val,predict10_scaled-A0091_frame70.png,predict9_scaled-A0038_frame141.png,0.774295
val,predict10_scaled-A0091_frame71.png,predict9_scaled-A0038_frame141.png,0.773554
val,predict10_scaled-A0091_frame72.png,predict9_scaled-A0038_frame141.png,0.771754
val,predict10_scaled-A0091_frame73.png,predict9_scaled-A0038_frame129.png,0.767526
val,predict10_scaled-A0091_frame74.png,predict9_scaled-A0038_frame129.png,0.768347
val,predict10_scaled-A0091_frame75.png,predict9_scaled-A0038_frame129.png,0.769411
val,predict10_scaled-A0091_frame76.png,predict9_scaled-A0038_frame129.png,0.769807
val,predict10_scaled-A0091_frame77.png,predict9_scaled-A0038_frame129.png,0.769836
val,predict10_scaled-A0091_frame78.png,predict9_scaled-A0038_frame129.png,0.769627
val,predict10_scaled-A0091_frame79.png,predict9_scaled-A0038_frame129.png,0.76772
val,predict10_scaled-A0091_frame8.png,predict9_scaled-A0038_frame142.png,0.796734
val,predict10_scaled-A0091_frame80.png,predict9_scaled-A0038_frame129.png,0.77202
val,predict10_scaled-A0091_frame81.png,predict9_scaled-A0038_frame141.png,0.774091
val,predict10_scaled-A0091_frame82.png,predict9_scaled-A0038_frame141.png,0.773883
val,predict10_scaled-A0091_frame83.png,predict9_scaled-A0038_frame141.png,0.773546
val,predict10_scaled-A0091_frame84.png,predict9_scaled-A0038_frame129.png,0.769522
val,predict10_scaled-A0091_frame85.png,predict9_scaled-A0038_frame142.png,0.771718
val,predict10_scaled-A0091_frame86.png,predict9_scaled-A0038_frame142.png,0.769957
val,predict10_scaled-A0091_frame87.png,predict9_scaled-A0038_frame141.png,0.76882
val,predict10_scaled-A0091_frame88.png,predict9_scaled-A0038_frame141.png,0.766652
val,predict10_scaled-A0091_frame89.png,predict9_scaled-A0037_frame77.png,0.762503
val,predict10_scaled-A0091_frame9.png,predict9_scaled-A0038_frame142.png,0.796826
val,predict10_scaled-A0091_frame90.png,predict9_scaled-A0037_frame77.png,0.761179
val,predict10_scaled-A0091_frame91.png,predict9_scaled-A0037_frame77.png,0.754833
val,predict10_scaled-A0091_frame92.png,predict9_scaled-A0038_frame128.png,0.748287
val,predict10_scaled-A0091_frame93.png,predict9_scaled-A0038_frame128.png,0.743971
val,predict10_scaled-A0091_frame94.png,predict9_scaled-A0037_frame77.png,0.740534
val,predict10_scaled-A0091_frame95.png,predict9_scaled-A0038_frame128.png,0.737453
val,predict10_scaled-A0091_frame96.png,predict9_scaled-A0038_frame128.png,0.735
val,predict10_scaled-A0091_frame97.png,predict4_scaled-A0147_frame72.png,0.739823
val,predict10_scaled-A0091_frame98.png,predict4_scaled-A0147_frame72.png,0.750045
val,predict10_scaled-A0091_frame99.png,predict4_scaled-A0147_frame72.png,0.753006
