candidate_id,source_repository,title,doi,url,publisher,year,license_declared,access_declared,files_n,size_bytes,resource_type,matched_query,relevance_score,provisional_tier,mentions_ultrasound,mentions_dataset
10.21227/kvaz-eh57,datacite,"""Descriptor: Cardiac Multi-view EchO Dataset (CAMEO)""",10.21227/kvaz-eh57,https://ieee-dataport.org/documents/descriptor-cardiac-multi-view-echo-dataset-cameo,IEEE DataPort,2025,cc-by-4.0,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.6084/m9.figshare.28399790.v1,datacite,<b>A Multi-Pathology Ballistocardiogram Dataset for Cardiac Function Monitoring and Arrhythmia Assessment</b>,10.6084/m9.figshare.28399790.v1,https://figshare.com/articles/dataset/_b_A_Multi-Pathology_Ballistocardiogram_Dataset_for_Cardiac_Function_Monitoring_and_Arrhythmia_Assessment_b_/28399790/1,figshare,2025,cc-by-4.0,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.6084/m9.figshare.28399790,datacite,<b>A Multi-Pathology Ballistocardiogram Dataset for Cardiac Function Monitoring and Arrhythmia Assessment</b>,10.6084/m9.figshare.28399790,https://figshare.com/articles/dataset/_b_A_Multi-Pathology_Ballistocardiogram_Dataset_for_Cardiac_Function_Monitoring_and_Arrhythmia_Assessment_b_/28399790,figshare,2025,cc-by-4.0,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.17632/pg2djw3sjc.1,datacite,Dataset: Impact of pulsed-wave-Doppler velocity-envelope extraction techniques on classification of complete fetal cardiac cycles,10.17632/pg2djw3sjc.1,https://data.mendeley.com/datasets/pg2djw3sjc/1,Mendeley,2021,cc-by-4.0,,,,,cardiac ultrasound dataset,-5,T4,False,True
10.5281/zenodo.21496224,datacite,Dataset: Can botulinum toxin A (BTX-A) be repurposed from cosmetic/spasticity applications in order to treat oculomotor palsy and have utilization with endoscopic endonasal approaches to skull base tumors to protect cran,10.5281/zenodo.21496224,https://zenodo.org/doi/10.5281/zenodo.21496224,Zenodo,2026,cc-by-4.0,,,,,nerve ultrasound dataset,-5,T4,False,True
10.5281/zenodo.21496225,datacite,Dataset: Can botulinum toxin A (BTX-A) be repurposed from cosmetic/spasticity applications in order to treat oculomotor palsy and have utilization with endoscopic endonasal approaches to skull base tumors to protect cran,10.5281/zenodo.21496225,https://zenodo.org/doi/10.5281/zenodo.21496225,Zenodo,2026,cc-by-4.0,,,,,nerve ultrasound dataset,-5,T4,False,True
10.5061/dryad.p8cz8w9wx,datacite,Simulated cycling data set and musculoskeletal models,10.5061/dryad.p8cz8w9wx,https://datadryad.org/dataset/doi:10.5061/dryad.p8cz8w9wx,Dryad,2023,cc0-1.0,,,,,musculoskeletal ultrasound dataset,-5,T4,False,True
10.25384/sage.c.5283652,openaire,Clinical application of percutaneous nephrolithotomy in a patient with kyphoscoliosis,10.25384/sage.c.5283652,,,2021,,,,,,lumbar spine ultrasound,-5,T1,False,False
openaire:A Phase II Study to Evaluate Outpatient Magnetic Resonance Image-guided Laser Focal Therapy for Prostate Cancer,openaire,"A Phase II Study to Evaluate Outpatient Magnetic Resonance Image-guided Laser Focal Therapy for Prostate Cancer, a 20-year Survival Study",,,,2014,,,,,,3D ultrasound spine,-5,T4,False,True
openaire:Determine the Optimum Applied Pressure for the Brace Treatment of Scoliosis,openaire,Determine the Optimum Applied Pressure for the Brace Treatment of Scoliosis,,,,2016,,,,,,scoliosis ultrasound,-5,T1,False,False
