candidate_id,source_repository,title,doi,url,publisher,year,license_declared,access_declared,files_n,size_bytes,resource_type,matched_query,relevance_score,provisional_tier,mentions_ultrasound,mentions_dataset
10.14457/cu.doc.2023.25,datacite,อุปกรณ์นำทางเข็มสำหรับเครื่องอัลตราซาวด์เพื่อการเจาะน้ำไขสันหลัง (point-assisted spinal sonography ( PASSTM) for lumbar puncture),10.14457/cu.doc.2023.25,http://doi.nrct.go.th/?page=resolve_doi&resolve_doi=10.14457/CU.doc.2023.25,ศูนย์ประชุมวิชาการ คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,2023,,,,,,lumbar puncture ultrasound,16,T0,True,False
openaire:Does Ultrasound Scanning of the Lumbar Spine Improve Patient Satisfaction and the Ease of Insertion of Labour E,openaire,Does Ultrasound Scanning of the Lumbar Spine Improve Patient Satisfaction and the Ease of Insertion of Labour Epidural Catheters,,,,2009,,,,,,lumbar spine ultrasound,16,T0,True,True
10.3410/f.10640956.11516055,openaire,Faculty Opinions recommendation of [CONFERENCE POSTER]: Atlas-augmented ultrasound guidance of lumbar epidural needle insertions.,10.3410/f.10640956.11516055,,,2011,,,,,,epidural ultrasound,15,T0,True,False
10.48804/3xpcae,datacite,"A large, paired dataset of robotic and handheld lumbar spine ultrasound with ground truth CT benchmarking.",10.48804/3xpcae,https://rdr.kuleuven.be/citation?persistentId=doi:10.48804/3XPCAE,KU Leuven RDR,2024,cc-by-4.0,,,,,lumbar spine ultrasound,14,T0,True,True
openaire:Lumbar Spine Ultrasound of Patients With Previous Accidental Dural Puncture During Labour Epidural,openaire,Lumbar Spine Ultrasound of Patients With Previous Accidental Dural Puncture During Labour Epidural,,,,2007,,,,,,lumbar spine ultrasound,14,T0,True,False
10.17632/nzxs7xp2xx,datacite,Data for: Ultrasound-Assisted Lumbar Puncture in the Pediatric Emergency Department: A Randomized Controlled Trial and Meta-analysis,10.17632/nzxs7xp2xx,https://data.mendeley.com/datasets/nzxs7xp2xx,Mendeley,2021,cc-by-4.0,,,,,lumbar puncture ultrasound,12,T0,True,False
10.17632/nzxs7xp2xx.1,datacite,Data for: Ultrasound-Assisted Lumbar Puncture in the Pediatric Emergency Department: A Randomized Controlled Trial and Meta-analysis,10.17632/nzxs7xp2xx.1,https://data.mendeley.com/datasets/nzxs7xp2xx/1,Mendeley,2021,cc-by-4.0,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:Does Static Ultrasound-Preview Reduce the Incidence of Traumatic and/or Difficult Lumbar Puncture? A Randomized,openaire,Does Static Ultrasound-Preview Reduce the Incidence of Traumatic and/or Difficult Lumbar Puncture? A Randomized Control Trial,,,,2006,,,,,,lumbar spine ultrasound,12,T0,True,False
openaire:Bedside Ultrasound Assisted Pediatric Lumbar Puncture--A Randomized Controlled Trial,openaire,Bedside Ultrasound Assisted Pediatric Lumbar Puncture--A Randomized Controlled Trial,,,,2014,,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:Sonographic Visualization vs Palpation Technique for Infant Lumbar Puncture,openaire,Sonographic Visualization vs Palpation Technique for Infant Lumbar Puncture,,,,2015,,,,,,lumbar puncture ultrasound,12,T0,True,False
10.5256/f1000research.16133.d216926,openaire,Keywords identified during discussions surrounding use of ultrasound in lumbar puncture.,10.5256/f1000research.16133.d216926,,,2025,,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:A Randomized Controlled Trial of Ultrasound-Assisted Versus Traditional Landmark Lumbar Puncture in the Neonata,openaire,A Randomized Controlled Trial of Ultrasound-Assisted Versus Traditional Landmark Lumbar Puncture in the Neonatal and Infant Population,,,,2016,,,,,,lumbar puncture ultrasound,12,T0,True,False
10.5281/zenodo.4813508,zenodo,Multimodal 3D ultrasound and CT in image-guided spinal surgery: public database and new registration algorithms,10.5281/zenodo.4813508,https://zenodo.org/records/4813508,,2021,cc-by-4.0,open,1,148576333,dataset,lumbar puncture ultrasound,12,T0,True,True
10.5281/zenodo.4269776,zenodo,Technical Feasibility of Electromagnetic US/CT Fusion Imaging and Virtual Navigation in the Guidance of Spine Biopsies,10.5281/zenodo.4269776,https://zenodo.org/records/4269776,,2020,,restricted,0,0,dataset,lumbar puncture ultrasound,12,T0,True,True
10.7910/dvn/m7oagk,datacite,Effect of ultrasound-guided ilioinguinaliliohypogastric nerve block on chronic pain in patients undergoing open inguinal hernia surgery under spinal anesthesia: a randomized doubleblind study,10.7910/dvn/m7oagk,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/M7OAGK,Harvard Dataverse,2024,cc0-1.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
10.5281/zenodo.14237778,datacite,Ultrasound-guided four-nerve combined block and spinal anesthesia in below-the-knee limb amputation in the elderly and  blood pressure fluctuations,10.5281/zenodo.14237778,https://zenodo.org/doi/10.5281/zenodo.14237778,Zenodo,2024,cc-by-4.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
10.5281/zenodo.14237777,datacite,Ultrasound-guided four-nerve combined block and spinal anesthesia in below-the-knee limb amputation in the elderly and  blood pressure fluctuations,10.5281/zenodo.14237777,https://zenodo.org/doi/10.5281/zenodo.14237777,Zenodo,2024,cc-by-4.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
openaire:Efficacy of the Epidural Positioning Device (EPD) on Optimising the Acoustic Target Window for Neuraxial Needle,openaire,Efficacy of the Epidural Positioning Device (EPD) on Optimising the Acoustic Target Window for Neuraxial Needle Placement,,,,2016,,,,,,neuraxial ultrasound,11,T0,False,False
openaire:Comparison Between Palpatory and Preprocedural Ultrasound Guided Techniques on Performance of Spinal Anesthesia,openaire,Comparison Between Palpatory and Preprocedural Ultrasound Guided Techniques on Performance of Spinal Anesthesia in Term Parturients Undergoing Elective Caesarian Section- A Randomized Control Trial,,,,2013,,,,,,lumbar spine ultrasound,10,T0,True,False
openaire:Ultrasound Confirmation of Neuraxial Anesthetic Vertebral Level in Post-partum Patients,openaire,Ultrasound Confirmation of Neuraxial Anesthetic Vertebral Level in Post-partum Patients,,,,2015,,,,,,neuraxial ultrasound,10,T0,True,False
openaire:A Randomized Controlled Trial of Pre-procedural Ultrasound Techniques Versus the Conventional Landmark Techniqu,openaire,A Randomized Controlled Trial of Pre-procedural Ultrasound Techniques Versus the Conventional Landmark Technique of Spinal Anesthesia in Elderly Patients,,,,2015,,,,,,neuraxial ultrasound,10,T0,True,False
openaire:The Use of Ultrasound to Guide Spinal Anesthesia in Obstetrics. Is There an Advantage Over Landmark Technique i,openaire,The Use of Ultrasound to Guide Spinal Anesthesia in Obstetrics. Is There an Advantage Over Landmark Technique in Non-obese Patients?,,,,2011,,,,,,neuraxial ultrasound,10,T0,True,False
openaire:A Comparison of Conventional Landmark Guided Midline Versus Pre-procedure Ultrasound - Guided Paramedian Techni,openaire,A Comparison of Conventional Landmark Guided Midline Versus Pre-procedure Ultrasound - Guided Paramedian Techniques in Spinal Anesthesia,,,,2014,,,,,,neuraxial ultrasound,10,T0,True,False
openaire:Feasibility Study of the Use of Real-time Ultrasound Guidance to Administer Spinal Anesthesia,openaire,Feasibility Study of the Use of Real-time Ultrasound Guidance to Administer Spinal Anesthesia,,,,2011,,,,,,spinal anesthesia ultrasound,10,T0,True,False
openaire:Predictive Value of an Ultrasound Model of Measurement of the Dural Sac Volume on the Sensory Level Obtained by,openaire,Predictive Value of an Ultrasound Model of Measurement of the Dural Sac Volume on the Sensory Level Obtained by Spinal Anesthesia,,,,2012,,,,,,spinal anesthesia ultrasound,10,T0,True,False
openaire:A Real-Time Ultrasound Guided Approach For Spinal Anesthesia,openaire,A Real-Time Ultrasound Guided Approach For Spinal Anesthesia,,,,2012,,,,,,spinal anesthesia ultrasound,10,T0,True,False
openaire:Hypotension in Spinal Anesthesia for Total Knee Joint Arthroplasty: a Comparison of Taylor's Approach With Para,openaire,Hypotension in Spinal Anesthesia for Total Knee Joint Arthroplasty: a Comparison of Taylor's Approach With Paramedian Lumbar Approach,,,,2014,,,,,,spinal anesthesia ultrasound,10,T0,False,False
10.3410/f.718015936.793479529,openaire,"Faculty of 1000 evaluation for Ultrasound-Guided vs. Fluoroscopy-Guided Caudal Epidural Steroid Injection for the Treatment of Unilateral Lower Lumbar Radicular Pain: A Prospective, Randomized, Single-Blind Clinical Stud",10.3410/f.718015936.793479529,,,2013,,,,,,epidural ultrasound,10,T0,True,False
"openaire:Does Ultrasound-guided CSE Technique Improve Midline Placement of Epidural Needle With Positive CSF Flow, There",openaire,"Does Ultrasound-guided CSE Technique Improve Midline Placement of Epidural Needle With Positive CSF Flow, Thereby Facilitating Correct Placement of the Catheter Compared to Catheter Placement Using Palpation of Anatomica",,,,2014,,,,,,lumbar spine ultrasound,9,T0,True,False
openaire:Does Ultrasound-guided CSE Technique Improve Midline Placement of Epidural Needle Thereby Helping Junior Reside,openaire,Does Ultrasound-guided CSE Technique Improve Midline Placement of Epidural Needle Thereby Helping Junior Residents With Correct Placement of the Catheter Compared to the Placement Using With Anatomical Landmarks?,,,,2015,,,,,,lumbar spine ultrasound,9,T0,True,False
openaire:The Use of Ultrasound With the Epidural Depth Equation (EQ-US) to Estimate Epidural Depth (Est-D) in Morbidly O,openaire,The Use of Ultrasound With the Epidural Depth Equation (EQ-US) to Estimate Epidural Depth (Est-D) in Morbidly Obese Parturients (BMI>40Kg/m2) Will Have a High Correlation With Actual Epidural Needle Depth (ND),,,,2011,,,,,,epidural ultrasound,9,T0,True,False
openaire:Three-Dimensional Ultrasound (3D US) for Epidural Needle Insertion in Parturients,openaire,Three-Dimensional Ultrasound (3D US) for Epidural Needle Insertion in Parturients,,,,2012,,,,,,epidural ultrasound,9,T0,True,False
10.5281/zenodo.5018581,zenodo,Endoscopic OCT for epidural anesthesia,10.5281/zenodo.5018581,https://zenodo.org/records/5018581,,2021,cc-by-4.0,open,1,1262696530,dataset,epidural ultrasound,9,T0,False,False
"openaire:EXO-SPINE: A Prospective, Multi-center, Double-blind, Randomized, Placebo Controlled Pivotal Study of Ultrasoun",openaire,"EXO-SPINE: A Prospective, Multi-center, Double-blind, Randomized, Placebo Controlled Pivotal Study of Ultrasound as Adjunctive Therapy for Increasing Posterolateral Fusion Success Following Single Level Posterior Instrum",,,,2008,,,,,,lumbar spine ultrasound,8,T0,True,False
10.6084/m9.figshare.c.5135640,openaire,Landmark-guided versus modified ultrasound-assisted Paramedian techniques in combined spinal-epidural anesthesia for elderly patients with hip fractures: a randomized controlled trial,10.6084/m9.figshare.c.5135640,,,2020,,,,,,spinal anesthesia ultrasound,8,T0,True,False
osf:az8bv,osf,Efficacy of a computer-aided three-dimensional image neuraxial ultrasound guidance for neuraxial anesthesia in adult patients: a systematic review and meta-analysis protocol,,https://osf.io/az8bv,,,,,,,,neuraxial ultrasound,8,T0,True,True
10.5281/zenodo.8181250,zenodo,LumVBCanSeg: A Lumbar Vertebral Body Cancellous Bone Segmentation Dataset,10.5281/zenodo.8181250,https://zenodo.org/records/8181250,,2023,cc-by-4.0,open,1,10075438693,dataset,lumbar puncture ultrasound,8,T0,False,True
10.5281/zenodo.3712272,zenodo,"Dataset related to article ""Contrast imaging techniques to diagnose hepatocellular carcinoma in cirrhotics outside regular surveillance.""",10.5281/zenodo.3712272,https://zenodo.org/records/3712272,,2020,,restricted,0,0,dataset,needle tracking ultrasound,8,T2,True,True
10.5281/zenodo.21628233,zenodo,Spinal-Multiple-Myeloma-SEG: Trabecular Bone Segmentation Extension,10.5281/zenodo.21628233,https://zenodo.org/records/21628233,,2026,cc-by-4.0,open,1,6057052,dataset,ultrasound bone segmentation,8,T0,False,True
10.5281/zenodo.20283247,zenodo,Shoulder 3D Ultrasound Mosaicking Dataset (Pose Estimation vs Hybrid Alignment),10.5281/zenodo.20283247,https://zenodo.org/records/20283247,,2026,cc-by-4.0,open,1,8503198147,dataset,ultrasound bone segmentation,8,T1,True,True
10.17632/zk6scwv52p,datacite,A convolutional neural network for an automatic biopsy needle detection and segmentation on ultrasound images,10.17632/zk6scwv52p,https://data.mendeley.com/datasets/zk6scwv52p,Mendeley,2022,cc-by-4.0,,,,,ultrasound needle segmentation,7,T2,True,True
10.17632/zk6scwv52p.3,datacite,A convolutional neural network for an automatic biopsy needle detection and segmentation on ultrasound images,10.17632/zk6scwv52p.3,https://data.mendeley.com/datasets/zk6scwv52p/3,Mendeley,2022,cc-by-4.0,,,,,ultrasound needle segmentation,7,T2,True,True
10.17632/zk6scwv52p.2,datacite,A convolutional neural network for an automatic biopsy needle detection and segmentation on ultrasound images,10.17632/zk6scwv52p.2,https://data.mendeley.com/datasets/zk6scwv52p/2,Mendeley,2021,cc-by-4.0,,,,,ultrasound needle segmentation,7,T2,True,True
10.17632/zk6scwv52p.1,datacite,A convolutional neural network for an automatic biopsy needle detection and segmentation on ultrasound images,10.17632/zk6scwv52p.1,https://data.mendeley.com/datasets/zk6scwv52p/1,Mendeley,2021,cc-by-4.0,,,,,ultrasound needle segmentation,7,T2,True,True
openaire:Ultrasound Guided 0.25% Ropivacaine Transversus Abdominis Plane Block in Addition to Intrathecal Morphine and M,openaire,Ultrasound Guided 0.25% Ropivacaine Transversus Abdominis Plane Block in Addition to Intrathecal Morphine and Multimodal Analgesia for the Management of Postoperative Pain Among Women Undergoing Cesarean Delivery.,,,,2010,,,,,,neuraxial ultrasound,7,T0,True,False
10.6084/m9.figshare.c.7350452,openaire,A horizontal and perpendicular interlaminar approach for intrathecal nusinersen injection in patients with spinal muscular atrophy and scoliosis: an observational study,10.6084/m9.figshare.c.7350452,,,2024,,,,,,lumbar puncture ultrasound,7,T0,False,False
10.5281/zenodo.12818267,zenodo,Longterm epidural electrophysiology recordings of the NEO BCI system,10.5281/zenodo.12818267,https://zenodo.org/records/12818267,,2024,cc-by-4.0,restricted,0,0,dataset,epidural ultrasound,7,T0,False,True
10.25549/usctheses-ouc11399ny1o,datacite,Ultrasound guided neuraxial block placement in obese parturients: an extensive integrative review and quality improvement project,10.25549/usctheses-ouc11399ny1o,https://digitallibrary.usc.edu/asset-management/2A3BF1M26S6S6,University of Southern California Digital Library (USC.DL),2021,,,,,,neuraxial ultrasound,6,T0,True,False
10.25549/usctheses-ouc11399nymp,datacite,Ultrasound guided neuraxial block placement in obese parturients: an extensive integrative review and quality improvement project,10.25549/usctheses-ouc11399nymp,https://digitallibrary.usc.edu/asset-management/2A3BF1M26JORA,University of Southern California Digital Library (USC.DL),2021,,,,,,neuraxial ultrasound,6,T0,True,False
10.25549/usctheses-ouc11399nymi,datacite,Ultrasound guided neuraxial block placement in obese parturients: an extensive integrative review and quality improvement project,10.25549/usctheses-ouc11399nymi,https://digitallibrary.usc.edu/asset-management/2A3BF1M26J72G,University of Southern California Digital Library (USC.DL),2021,,,,,,neuraxial ultrasound,6,T0,True,False
10.7910/dvn/evlm8b,datacite,Brachial Plexus Nerve block target and needle annotation in ultrasound guided regional anesthesia,10.7910/dvn/evlm8b,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/EVLM8B,Harvard Dataverse,2026,cc-by-nc-sa-4.0,,,,,ultrasound needle segmentation,6,T2,True,True
openaire:Study of the Use of Ultrasound Scan for Lumbar Regional Anesthesia,openaire,Study of the Use of Ultrasound Scan for Lumbar Regional Anesthesia,,,,2015,,,,,,lumbar spine ultrasound,6,T0,True,True
openaire:Pre-insertion Ultrasound Guidance for Labor Epidural Placement in the Lateral Position: A Randomized Controlled,openaire,Pre-insertion Ultrasound Guidance for Labor Epidural Placement in the Lateral Position: A Randomized Controlled Trial of Image Reproducibility During Labor and Impact on Resident Learning Curve,,,,2016,,,,,,lumbar spine ultrasound,6,T0,True,True
openaire:The Utility of Pre-procedure Ultrasound for Neuraxial Analgesia/Anesthesia in Obstetric Patients,openaire,The Utility of Pre-procedure Ultrasound for Neuraxial Analgesia/Anesthesia in Obstetric Patients,,,,2010,,,,,,neuraxial ultrasound,6,T0,True,False
10.25384/sage.c.7000422,openaire,Ultrasound-based Accuro system versus traditional palpation technique for neuraxial anaesthesia: A systematic review and meta-analysis of randomised controlled trials,10.25384/sage.c.7000422,,,2023,,,,,,neuraxial ultrasound,6,T0,True,False
openaire:Accuracy of Depth and Landmark Assessment Using Neuraxial Ultrasound Devices,openaire,Accuracy of Depth and Landmark Assessment Using Neuraxial Ultrasound Devices,,,,2016,,,,,,neuraxial ultrasound,6,T0,True,False
openaire:Use of Ultrasound in Obstetric Neuraxial Analgesia and Anesthesia Data Base,openaire,Use of Ultrasound in Obstetric Neuraxial Analgesia and Anesthesia Data Base,,,,2010,,,,,,neuraxial ultrasound,6,T0,True,False
10.5061/dryad.m1s4p,zenodo,Data from: A multimodal image guiding system for Navigated Ultrasound Bronchoscopy (EBUS): a human feasibility study,10.5061/dryad.m1s4p,https://zenodo.org/records/4991954,,2018,cc-zero,open,4,1042631406,dataset,epidural ultrasound,6,T2,True,True
10.5281/zenodo.20153132,zenodo,"Impact of immersive video program on training for Objective Structured Clinical Examinations (OSCE) on lumbar puncture, a randomized controlled trial.",10.5281/zenodo.20153132,https://zenodo.org/records/20153132,,2026,cc-by-4.0,open,1,52417,dataset,lumbar puncture ultrasound,6,T0,False,False
10.5061/dryad.ngf1vhhrp,zenodo,Association of CSF biomarkers with hippocampal-dependent memory in preclinical Alzheimer disease,10.5061/dryad.ngf1vhhrp,https://zenodo.org/records/5773130,,2021,cc-zero,open,1,1896526,dataset,lumbar puncture ultrasound,6,T0,False,False
10.5281/zenodo.10684333,zenodo,Dataset related to article: CASE 310: Posterior Epidural Migration of a Lumbar Disk Herniation,10.5281/zenodo.10684333,https://zenodo.org/records/10684333,,2024,cc-by-4.0,open,1,14074,dataset,lumbar spine ultrasound,6,T0,False,True
10.5281/zenodo.19574381,zenodo,MODERN CLASSIFICATION AND DIFFERENTIAL DIAGNOSIS OF THYROID CARCINOMA: A SYSTEMATIC REVIEW,10.5281/zenodo.19574381,https://zenodo.org/records/19574381,,2026,cc-by-4.0,open,1,281933,dataset,needle tracking ultrasound,6,T2,True,False
10.5061/dryad.fbg79cp45,zenodo,Bilateral back extensor exosuit (BBEX) for multidimensional force assistance and prevention of spinal overuse injuries during lifting,10.5061/dryad.fbg79cp45,https://zenodo.org/records/12569770,,2024,cc-zero,open,7,2529761957,dataset,robotic ultrasound spine,6,T0,False,False
10.6084/m9.figshare.31446016,datacite,"Dataset of Combining Augmented Reality Guidance, and Virtual Constraints for Skilled Epidural Needle Placement",10.6084/m9.figshare.31446016,https://figshare.com/articles/dataset/Dataset_of_Combining_Augmented_Reality_Guidance_and_Virtual_Constraints_for_Skilled_Epidural_Needle_Placement/31446016,figshare,2026,cc-by-4.0,,,,,epidural ultrasound,5,T0,False,True
10.6084/m9.figshare.31446016.v1,datacite,"Dataset of Combining Augmented Reality Guidance, and Virtual Constraints for Skilled Epidural Needle Placement",10.6084/m9.figshare.31446016.v1,https://figshare.com/articles/dataset/Dataset_of_Combining_Augmented_Reality_Guidance_and_Virtual_Constraints_for_Skilled_Epidural_Needle_Placement/31446016/1,figshare,2026,cc-by-4.0,,,,,epidural ultrasound,5,T0,False,True
10.6084/m9.figshare.29618819,datacite,Supplemental Files and Data: Epidural Pressure Is a Major Driver of Elevated Intraspinal Pressure After Traumatic Spinal Cord Injury and Laminectomy in Pigs,10.6084/m9.figshare.29618819,https://figshare.com/articles/dataset/Supplemental_Files_and_Data_Epidural_Pressure_Is_a_Major_Driver_of_Elevated_Intraspinal_Pressure_After_Traumatic_Spinal_Cord_Injury_and_Laminectomy_in_Pigs/29618819,figshare,2025,cc-by-4.0,,,,,epidural ultrasound,5,T0,False,False
10.6084/m9.figshare.29618819.v1,datacite,Supplemental Files and Data: Epidural Pressure Is a Major Driver of Elevated Intraspinal Pressure After Traumatic Spinal Cord Injury and Laminectomy in Pigs,10.6084/m9.figshare.29618819.v1,https://figshare.com/articles/dataset/Supplemental_Files_and_Data_Epidural_Pressure_Is_a_Major_Driver_of_Elevated_Intraspinal_Pressure_After_Traumatic_Spinal_Cord_Injury_and_Laminectomy_in_Pigs/29618819/1,figshare,2025,cc-by-4.0,,,,,epidural ultrasound,5,T0,False,False
openaire:A Randomized Comparison of Ultrasound Plus Nerve Stimulator Guided Lumbar Plexus Block to Conventional Nerve St,openaire,A Randomized Comparison of Ultrasound Plus Nerve Stimulator Guided Lumbar Plexus Block to Conventional Nerve Stimulator Guided Technique Using Winnie Approach,,,,2013,,,,,,neuraxial ultrasound,5,T0,True,False
openaire:Comparison of Efficacy of Transversus Abdominis Plane Block and Ilioinguinal Nerve Block for Postoperative Pain,openaire,Comparison of Efficacy of Transversus Abdominis Plane Block and Ilioinguinal Nerve Block for Postoperative Pain Management in Patients Undergoing Inguinal Herniorraphy With Spinal Anesthesia,,,,2015,,,,,,spinal anesthesia ultrasound,5,T0,False,False
openaire:Evaluation of Ultrasound-Assisted Thoracic Epidural Placement in Patients Undergoing Upper Abdominal and Thorac,openaire,"Evaluation of Ultrasound-Assisted Thoracic Epidural Placement in Patients Undergoing Upper Abdominal and Thoracic Surgery: A Randomized, Double-Blind Study",,,,2016,,,,,,epidural ultrasound,5,T0,True,False
openaire:Ultrasound Guidance in Nerve Block Anaesthesia: Classic Nerve Stimulation Technique Versus Ultrasound-Neurostim,openaire,"Ultrasound Guidance in Nerve Block Anaesthesia: Classic Nerve Stimulation Technique Versus Ultrasound-Neurostimulation Combination in Four Blocks: Interscalene, Humeral, Parasacral and Lumbar Blocks",,,,2005,,,,,,epidural ultrasound,5,T0,True,False
10.6084/m9.figshare.c.7361086.v1,openaire,The effect of bilateral ultrasound-guided erector spinae plane block on postoperative pain control in idiopathic scoliosis patients undergoing posterior spine fusion surgery: study protocol of a randomized controlled tri,10.6084/m9.figshare.c.7361086.v1,,,2024,,,,,,scoliosis ultrasound,5,T1,True,False
10.6084/m9.figshare.c.6888049.v1,openaire,Handheld interventional ultrasound/ photoacoustic puncture needle navigation based on deep learning segmentation,10.6084/m9.figshare.c.6888049.v1,,,2023,,,,,,ultrasound needle segmentation,5,T2,True,True
10.5281/zenodo.14201209,zenodo,First-in-human study of epidural spinal cord stimulation in individuals with spinal muscular atrophy,10.5281/zenodo.14201209,https://zenodo.org/records/14201209,,2024,cc-by-4.0,open,1,28192745,dataset,epidural ultrasound,5,T0,False,False
10.5061/dryad.280gb5mpj,zenodo,Blood pressure measurement during cesarean delivery: Evaluation of a beat-to-beat noninvasive device (NexfinTM),10.5061/dryad.280gb5mpj,https://zenodo.org/records/4586488,,2021,cc-zero,open,1,209902,dataset,spinal anesthesia ultrasound,5,T0,False,False
10.5281/zenodo.8138434,zenodo,Comparison of post operative analgesia between Nalbuphine and Fentanyl as adjuvant with intrathecal Levobupivacaine for lower abdominal gynaecological surgeries,10.5281/zenodo.8138434,https://zenodo.org/records/8138434,,2023,cc-by-4.0,open,2,38691,dataset,spinal anesthesia ultrasound,5,T0,False,False
10.5281/zenodo.13821636,zenodo,"Table 3 in Molecular characterization of the re-emerging West Nile virus in avian species and equids in Israel, 2018, and pathological description of the disease",10.5281/zenodo.13821636,https://zenodo.org/records/13821636,,2020,cc-by-4.0,open,1,1493,dataset,spinal anesthesia ultrasound,5,T0,False,False
10.5281/zenodo.18635244,zenodo,PRINCIPLES OF OPTIMIZING TREATMENT FOR PATIENTS WITH VERTEBROGENIC NEUROLOGICAL DISORDERS,10.5281/zenodo.18635244,https://zenodo.org/records/18635244,,2026,cc-by-4.0,open,1,268841,dataset,spinal anesthesia ultrasound,5,T0,False,False
10.57760/sciencedb.08332,datacite,Effects of epidural analgesia on gastric emptying in parturients monitored by ultrasound,10.57760/sciencedb.08332,https://www.scidb.cn/detail?dataSetId=3e8946a6920f449eab80a4f1fbc26943,Science Data Bank,2023,cc0-1.0,,,,,epidural ultrasound,4,T0,True,False
openaire:Ultrasound-Guided Technique for Thoracic Epidural Insertion: A Randomized Controlled Trial,openaire,Ultrasound-Guided Technique for Thoracic Epidural Insertion: A Randomized Controlled Trial,,,,2011,,,,,,lumbar spine ultrasound,4,T0,True,False
openaire:Ultrasound Imaging For Facilitating Labour Epidurals in Obese Parturients,openaire,Ultrasound Imaging For Facilitating Labour Epidurals in Obese Parturients,,,,2007,,,,,,lumbar spine ultrasound,4,T0,True,False
10.6084/m9.figshare.c.8425928.v1,openaire,The hidden architecture of back pain: ultrasound-based lumbar multifidus pennation angle analysis - a cross-sectional pilot study,10.6084/m9.figshare.c.8425928.v1,,,2026,,,,,,lumbar spine ultrasound,4,T0,True,False
openaire:Identification of the Lumbar Interspinous Spaces; Palpation Versus Ultrasound Versus Fluoroscopy,openaire,Identification of the Lumbar Interspinous Spaces; Palpation Versus Ultrasound Versus Fluoroscopy,,,,2011,,,,,,neuraxial ultrasound,4,T0,True,False
10.25384/sage.c.5475014,openaire,Real-time ultrasound-guided epidural anesthesia for cesarean section in a parturient with achondroplasia,10.25384/sage.c.5475014,,,2021,,,,,,neuraxial ultrasound,4,T0,True,False
openaire:Ultrasound Guidance for Epidural Analgesia and Anesthesia,openaire,Ultrasound Guidance for Epidural Analgesia and Anesthesia,,,,2015,,,,,,spinal anesthesia ultrasound,4,T0,True,False
openaire:Surgical Anesthesia for Elective Hip Surgery - Hemodynamic Effect of Lumbosacral Plexus Blockade Compared to Sp,openaire,Surgical Anesthesia for Elective Hip Surgery - Hemodynamic Effect of Lumbosacral Plexus Blockade Compared to Spinal Anesthesia,,,,2015,,,,,,spinal anesthesia ultrasound,4,T0,False,False
openaire:Comparison Between Ultrasound-assisted and Conventional Palpation Techniques for Epidural Catheterization Befor,openaire,Comparison Between Ultrasound-assisted and Conventional Palpation Techniques for Epidural Catheterization Before Cesarean Section,,,,2015,,,,,,spinal anesthesia ultrasound,4,T0,True,False
openaire:Real-time Ultrasound Guided Labor Epidural Placement,openaire,Real-time Ultrasound Guided Labor Epidural Placement,,,,2008,,,,,,epidural ultrasound,4,T0,True,False
openaire:Reliability of Ultrasound Assisted Epidural Analgesia in Obese and Normal Weight Parturients,openaire,Reliability of Ultrasound Assisted Epidural Analgesia in Obese and Normal Weight Parturients,,,,2011,,,,,,epidural ultrasound,4,T0,True,False
openaire:Real-time Ultrasound-guided Paramedian Epidural Access: Evaluation of a Novel In-plane Transverse View Techniqu,openaire,Real-time Ultrasound-guided Paramedian Epidural Access: Evaluation of a Novel In-plane Transverse View Technique,,,,2012,,,,,,epidural ultrasound,4,T0,True,False
openaire:Use of Ultrasound to Measure Depth of Thoracic Epidural Space Compared With Blind Technique,openaire,Use of Ultrasound to Measure Depth of Thoracic Epidural Space Compared With Blind Technique,,,,2010,,,,,,epidural ultrasound,4,T0,True,False
10.25384/sage.c.6833795.v1,openaire,Conventional anatomical landmark versus preprocedural ultrasound for thoracic epidural analgesia: A systematic review and meta-analysis,10.25384/sage.c.6833795.v1,,,2023,,,,,,epidural ultrasound,4,T0,True,False
10.57702/uu9wntmg,openaire,3D Ultrasound Spine Volume Projection Imaging (VPI) Dataset,10.57702/uu9wntmg,,,2024,,,,,,3D ultrasound spine,4,T1,True,True
10.5061/dryad.8pp13mm,zenodo,Data from: Influence of needle-insertion depth on epidural spread and clinical outcomes in caudal epidural injections: a randomized clinical trial,10.5061/dryad.8pp13mm,https://zenodo.org/records/5022172,,2018,cc-zero,open,8,1189309,dataset,epidural ultrasound,4,T0,False,False
10.5281/zenodo.7181338,zenodo,LumASe: A Lumbar Vertebra Anatomical Region Segmentation Dataset,10.5281/zenodo.7181338,https://zenodo.org/records/7181338,,2022,cc-by-4.0,open,1,2939692238,dataset,lumbar puncture ultrasound,4,T0,False,True
10.5281/zenodo.3961334,zenodo,Finite Element model of the upper lumbar and lower thoracic spine,10.5281/zenodo.3961334,https://zenodo.org/records/3961334,,2020,cc-by-4.0,open,2,3429800,dataset,lumbar puncture ultrasound,4,T0,False,True
