file_id,directory_label,filename,bytes,md5,content_type,restricted,storage_identifier,download_endpoint,local_status
227412,US/URS14,URS14_H1.zip,369823591,fba73a14dc348803883a50c01316408c,application/zip,False,s3://dataverse:193696981d5-c1fbdcc2e683,https://rdr.kuleuven.be/api/access/datafile/227412,NOT_DOWNLOADED
227284,US/URS14,URS14_H2.zip,604802301,982f04b803e935f9a4252b06e0fe956e,application/zip,False,s3://dataverse:1936985c562-0cfa8baf1e07,https://rdr.kuleuven.be/api/access/datafile/227284,NOT_DOWNLOADED
227394,US/URS14,URS14_H3.zip,731603776,dfb7304e3d804c04e67850519ffa7b6e,application/zip,False,s3://dataverse:19369af3137-ce07a4591a93,https://rdr.kuleuven.be/api/access/datafile/227394,NOT_DOWNLOADED
227047,US/URS14,URS14_R1.zip,973420035,23fd6a9ca6a30c8683fb94ae3f7e7963,application/zip,False,s3://dataverse:19369a718ec-b5fa581e1fcf,https://rdr.kuleuven.be/api/access/datafile/227047,NOT_DOWNLOADED
226821,US/URS14,URS14_R2.zip,993628342,2502f4c54c5293d8d2792f087191f7d1,application/zip,False,s3://dataverse:19369a3c1ad-1f390d511515,https://rdr.kuleuven.be/api/access/datafile/226821,NOT_DOWNLOADED
227283,US/URS14,URS14_R3.zip,917498913,d61a65735a812d6500461b8e3eaabf0c,application/zip,False,s3://dataverse:193698ec7b3-ddcc7884ae5a,https://rdr.kuleuven.be/api/access/datafile/227283,NOT_DOWNLOADED
226711,CT/URS14,URS14stl.zip,17255325,11e23d45ae411f89ced4730b0da5a7ec,application/zip,False,s3://dataverse:1936948ee8a-59253fc1dea9,https://rdr.kuleuven.be/api/access/datafile/226711,NOT_DOWNLOADED
267897,CT/URS15,URS15_CT_raw.zip,427535782,b4c860997668b928e1df7bf0d4ad38b0,application/zip,False,s3://dataverse:197c560e228-310738107798,https://rdr.kuleuven.be/api/access/datafile/267897,NOT_DOWNLOADED
226957,US/URS15,URS15_D1.zip,1895731858,6817365964d1d38a56cc0ba9d6d99433,application/zip,False,s3://dataverse:19369b5a01b-f9f2092ebc32,https://rdr.kuleuven.be/api/access/datafile/226957,NOT_DOWNLOADED
226809,US/URS15,URS15_D2.zip,1904661629,4d9eea3f46d553edb9d9226a9be810d3,application/zip,False,s3://dataverse:19369c14687-82b9171557fe,https://rdr.kuleuven.be/api/access/datafile/226809,NOT_DOWNLOADED
227357,US/URS15,URS15_D3.zip,937558219,256d536d82b465c1fcb98ff694d6fa89,application/zip,False,s3://dataverse:193698e1d82-800bc5d59d5c,https://rdr.kuleuven.be/api/access/datafile/227357,NOT_DOWNLOADED
226924,US/URS15,URS15_H1.zip,420490536,d2fd396b2ab42daf8ffff9ed89f8c7e0,application/zip,False,s3://dataverse:1936985242c-ac5147bf2516,https://rdr.kuleuven.be/api/access/datafile/226924,NOT_DOWNLOADED
227374,US/URS15,URS15_H2.zip,722976498,a1f455e72164b27fc9a1f99c08654099,application/zip,False,s3://dataverse:19369ba43bc-63e9a4b16caa,https://rdr.kuleuven.be/api/access/datafile/227374,NOT_DOWNLOADED
227119,US/URS15,URS15_H3.zip,657065204,8c841a38b9ac38ce3408658bdc95d8df,application/zip,False,s3://dataverse:19369b5757f-d8a0e2b2d24a,https://rdr.kuleuven.be/api/access/datafile/227119,NOT_DOWNLOADED
227079,US/URS15,URS15_R1.zip,806319750,7764a9cc5a183aaad9c7a6ceae3e18f9,application/zip,False,s3://dataverse:19369cd0492-176af6ebc4b1,https://rdr.kuleuven.be/api/access/datafile/227079,NOT_DOWNLOADED
227316,US/URS15,URS15_R2.zip,795234832,4dae04014626e04a3f8b7a6935728b88,application/zip,False,s3://dataverse:19369c1a00a-5df29c94969a,https://rdr.kuleuven.be/api/access/datafile/227316,NOT_DOWNLOADED
226882,US/URS15,URS15_R3.zip,784530430,e2ec2e5c610c28ec29a8f66408572efd,application/zip,False,s3://dataverse:1936955bfbe-57c12ac2512f,https://rdr.kuleuven.be/api/access/datafile/226882,NOT_DOWNLOADED
227320,US/URS15,URS15_R4.zip,622995078,7c480fddd5250aaa7226d7769a00d9fe,application/zip,False,s3://dataverse:1936964b3f2-119836e8bd32,https://rdr.kuleuven.be/api/access/datafile/227320,NOT_DOWNLOADED
226756,CT/URS15,URS15stl.zip,16976243,0d5c0a6c9f1e9cd6f8b2a9b5c8a0b9b7,application/zip,False,s3://dataverse:19369490074-580713ed35d9,https://rdr.kuleuven.be/api/access/datafile/226756,NOT_DOWNLOADED
267896,CT/URS16,URS16_CT_raw.zip,415388708,47028ca0256a79915500fa17b781d7b5,application/zip,False,s3://dataverse:197c56184d0-0e4c582dbcdf,https://rdr.kuleuven.be/api/access/datafile/267896,NOT_DOWNLOADED
227040,US/URS16,URS16_D1.zip,2019076883,bb6f31594cac3e718f5edd82e63eec15,application/zip,False,s3://dataverse:193696aabc1-4900340bcd2d,https://rdr.kuleuven.be/api/access/datafile/227040,NOT_DOWNLOADED
227183,US/URS16,URS16_D2.zip,1972952033,b9d9c214689b427445c5d07093d7e65c,application/zip,False,s3://dataverse:1936958c427-dd1d9de1dd37,https://rdr.kuleuven.be/api/access/datafile/227183,NOT_DOWNLOADED
227142,US/URS16,URS16_D3.zip,1079444866,52ee6db1e4f15549842673eb541b2b80,application/zip,False,s3://dataverse:19369b6f1f8-507ec42046cb,https://rdr.kuleuven.be/api/access/datafile/227142,NOT_DOWNLOADED
227165,US/URS16,URS16_H1.zip,506586415,1fe51d0da09602ae2bc8b3bfb9cc8a51,application/zip,False,s3://dataverse:19369936038-fec7a8ee7e35,https://rdr.kuleuven.be/api/access/datafile/227165,NOT_DOWNLOADED
226887,US/URS16,URS16_H2.zip,752442440,6b2d30d473b8658a57140445661879f5,application/zip,False,s3://dataverse:19369bfc142-40646d0d13aa,https://rdr.kuleuven.be/api/access/datafile/226887,NOT_DOWNLOADED
226995,US/URS16,URS16_H3.zip,834325952,0fcf5c86e21dea92ac01e0cde302976b,application/zip,False,s3://dataverse:193695d62b8-7c6366caca63,https://rdr.kuleuven.be/api/access/datafile/226995,NOT_DOWNLOADED
228074,US/US_recon,URS16_H3.zip,1675190,b2b06d686ac796c7831c2dae208762cf,application/zip,False,s3://dataverse:193780165ad-d52a56228d8a,https://rdr.kuleuven.be/api/access/datafile/228074,NOT_DOWNLOADED
227333,US/US_labels,URS16_H3.zip,65072931,7b106d7562efe36f72963c9d2713fe59,application/zip,False,s3://dataverse:19369aa22a4-9f6ef6cac8e9,https://rdr.kuleuven.be/api/access/datafile/227333,NOT_DOWNLOADED
