dataset_id,local_path,source_url,bytes,size_mb,sha256,downloaded_utc,recorded_utc
jhu_spinal_cord_detection,data/raw/jhu_spinal_cord/jhu_injury_localization.zip,https://drive.google.com/file/d/1C3NgTmC8gBNG8mL632Oz2i1j156zhSXk/view,224279362,224.28,8bdf07250c02376feac7a635f9e095125922a4935ac0c4c822e4bcb11f733fa1,2026-03-23T15:15:55+00:00,2026-09-11T04:14:23.350142+00:00
jhu_spinal_cord_segmentation,data/raw/jhu_spinal_cord/jhu_segmentation.zip,https://drive.google.com/file/d/1r3UNudTpPJyO1kJdVfQqPsBDduAWp2iS/view,1079559546,1079.56,8842d153b887c8ef8bf2e1c687b26b92a0fc91b37f118ac04865d15b8bffe057,2026-03-23T17:23:21+00:00,2026-09-11T04:14:24.240682+00:00
