file_id,directory_label,filename,remote_bytes,local_bytes,md5_expected,md5_actual,verified,method,source_doi,endpoint,local_path
228082,US/US_recon,URS36_H2.zip,1577127,1577127,0dfa22febd4591dc51e3b6f8fb9e44b5,0dfa22febd4591dc51e3b6f8fb9e44b5,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228082,data\raw\kuleuven_lumbar\US\US_recon\URS36_H2.zip
228075,US/US_recon,URS40_H4.zip,786518,786518,3e3f054fb352a3cc9a30dd6e866cbb27,3e3f054fb352a3cc9a30dd6e866cbb27,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228075,data\raw\kuleuven_lumbar\US\US_recon\URS40_H4.zip
228077,US/US_recon,URS40_R1.zip,2028227,2028227,a1b18f1fa5749935169cad908fe49dea,a1b18f1fa5749935169cad908fe49dea,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228077,data\raw\kuleuven_lumbar\US\US_recon\URS40_R1.zip
228078,US/US_recon,URS45_H2.zip,2420255,2420255,13b39105857e79635e467a8d165e0f35,13b39105857e79635e467a8d165e0f35,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228078,data\raw\kuleuven_lumbar\US\US_recon\URS45_H2.zip
228085,US/US_recon,URS45_R2.zip,1505773,1505773,38c150cba8c38ec52eca8ea1b5e0578e,38c150cba8c38ec52eca8ea1b5e0578e,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228085,data\raw\kuleuven_lumbar\US\US_recon\URS45_R2.zip
228084,US/US_recon,URS51_D2.zip,3004398,3004398,80271aba62bf5a74b424073340a94b7a,80271aba62bf5a74b424073340a94b7a,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228084,data\raw\kuleuven_lumbar\US\US_recon\URS51_D2.zip
228069,US/US_recon,URS51_R2.zip,1654550,1654550,40dc3848df1a1c9fa644c89a0f723d0f,40dc3848df1a1c9fa644c89a0f723d0f,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228069,data\raw\kuleuven_lumbar\US\US_recon\URS51_R2.zip
228073,US/US_recon,URS54_D1.zip,1167323,1167323,77ddf94554bbdecf4963a32f0a287131,77ddf94554bbdecf4963a32f0a287131,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228073,data\raw\kuleuven_lumbar\US\US_recon\URS54_D1.zip
228071,US/US_recon,URS54_H3.zip,984199,984199,4775e259a8216319fa269a368b52ad9d,4775e259a8216319fa269a368b52ad9d,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/228071,data\raw\kuleuven_lumbar\US\US_recon\URS54_H3.zip
271414,US,US_scantype_availability.csv,48655,48655,598a68c44db7d5aaa97d8f8017b8942a,598a68c44db7d5aaa97d8f8017b8942a,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/271414,data\raw\kuleuven_lumbar\US\US_scantype_availability.csv
271417,US,US_spatialtrackingvalidation.zip,20835130,20835130,6a418517aca04c91518ee4a54c8b5de8,6a418517aca04c91518ee4a54c8b5de8,True,"github-actions-runner (public CC-BY API, anonymous GET)",doi:10.48804/3XPCAE,https://rdr.kuleuven.be/api/access/datafile/271417,data\raw\kuleuven_lumbar\US\US_spatialtrackingvalidation.zip
